Description03.01lg,,Health Services Code,Health Services Code,Associated Diagnostic Code,Modifier,Notes,Base Rate,,,Description,,Additional Services Code,Associated Diagnostic Code,Modifier (automatically includes tray fees),Notes,Base Rate
General,Brief assessment of a patient's condition requiring minimal hx +/- exam,03.02A,03.02A,,None,,$30.17,,13.99BA,Gynecologic/GU,Pap smear ,13.99BA,"V76.2, 616?","• BMIPRO 
• Claimable with visit",Will get rejected < 25yo,$30.17
,Regular office visit,03.03A,03.03A,,"• CMGP
• G75GP",NOT for M&G if only do that. Includes: suture/staple removal if inserted by another doc; ear syringing. Use for in person mental health visit <8 min or 15-22.5 mins instead of O8.19G.  08.19G = 03.03A at approx 30 mins face time + 7 mins admin work. ,$40.23,,13.99BE,,Pelvic exam using a speculum + swabs ,13.99BE,"V72.3, V74.8","• BMIPRO 
• Claimable with visit","Cannot bill  if speculum but no swabs, self swab, swab without speculum. Often getting rejected, can try to use 13.99BA instead. ",$30.17
,"Comprehensive office visit with complete history, exam and care plan ",03.04A,03.04A,V70,CMXC30,"1/pt/345days; examine every system except eg. GU (if has been done by another doc, but you still did comprehensive, do 03.03a with +++ CMGP)",$110.64,,80.83B,,Endometrial biopsy,80.83B,,BMIPRO,,$45.48
,"(Virtual) Phone / Video conference < 10 min (often rejected, dont use) ",03.01AD,03.01AD,,None. ,"Must meet virtual visit requirements (see below). Message or email count towards this as well, incluing eg. notifying of normal result but DONT do on same day as initial visit with pt or only paid for result notification(can NOT delegate to nurse to get paid) ",$20.00,,12.23,,"Foreign body removal, vagina",12.23,,,add to base visit,$86.82
,(Virtual) Phone / Video conference,03.03CV,03.03CV,,"CMGP01 only
",Does not include admin tasks.,$40.23,,13.99BD,,Anal pap,13.99BD,,Claimable with visit,"Cannot also claim 13.99BA , 13.99BE, 13.99BD, 13.99BA ",$18.10
,(Virtual) Phone / Video conference to discuss patient management / diagnostic test results,03.05JR,03.05JR,,,Max 14 calls/GP/wk. Claimable when physician-initiated & directly spoke with the pt. Excludes: managing anticoagulation rx (refer to 03.01N). ,$20.00,,81.8,,IUD Insertion,81.8,V25.1,"• BMIPRO 
• Claimable with visit eg. 03.03a V72.4",can claim insertion and removal if do both,$71.48
,Secure Electronic Communication ,03.01S,03.01S,,,1/wk/pt; NOT if planning to book in person visit ,$20.00,,11.71A,,IUD Removal,11.71A,V25.4,"• BMIPRO 
• Claimable with visit",can claim insertion and removal if do both ,$37.24
,Pre-op H&P in relation to insured surgical service,03.04M,03.04M,,CMXC30,Claimable when exam and standard pre-op form completed for insured surgery.  Copy must be maintained in pt's chart.,$110.62,,98.01A,,Implantation of subdermal contraceptive implant (i.e. Nexplanon),98.01A,"V 25, V 25.8",Only claimable with unrelated visit,,$63.69
,"WCB, general assessment, condition unrelared to claim",03.01J,03.01J,,,,$25.14,,98.04C,,Removal of subdermal contraceptive implant (i.e. Nexplanon),98.04C," V25 (.0-.4)
V25.8
8 996
9 996.3",Only claimable with unrelated visit,,$55.03
,Chronic pain visit ,03.05O,03.05O,,M15,"Claimable if previously seen by chronic pain clinic, and referred back to GP.",$50.28,,13.59A,Injections,"IM/SC Injection: Insured (nurse can do): Influenza, pneumococcal.  Tetanus for wound by doc. ",13.59A,"302.08? , 626.2? ",Claimable with visit,"Can bill multiple in same visit. Cannot claim for allergy serum injection. Can only claim if you saw/evaluated patient too (beyond nurse). Uninsured: Gardasil, Shingrix, travel-related, hepatitis vaccine.",$10.73
Meds,"INR management -  include ordering necessary blood tests, interpreting results, adjusting the anticoagulant dosage as required",03.01N,03.01N,,Claimable with visit,2/mth/pt. Claimable if advice re: dosage given. Must be documented. Excludes: hospital pt. ,$18.44,,13.42A,,Allergy serum injection,13.42A,"V15.0, 995.3",Claimable with visit,Can claim once regardless of # of injections. ,$24.14
